Time,Username,Location,Tweet Content
2019-11-06 20:13:45,Katie Breen,St  John s,RT @CBCNL: NEW   Police investigating sudden death of HMP inmate   t co HFdFg3QVrF   t co j20H14HwH1
2019-11-06 20:13:44,  CanadaFirst  ,Winnipeg  Manitoba,RT @justme52500634: @baletown crawl @Gertrud29409036 @cathmckenna In Canada  it s not about doing  it s about virtue signalling  taking the applause  talking down to people who point this out  so we can feel important  Actually doing something about climate   that s for Americans     I guess
2019-11-06 20:13:44,Dharm Nagari            ,India,Punjab needs Serious Attention   1 Pakistan is sending drones to drop rifles  amp  ammunition in Punjab  2 Many ISI agents arrested in Punjab  3 Pak s video on Kartarpur corridor featured photo of 3 Khalistani separatist leaders  4  ISI lobby in Canada promoting Khalistan for 2020
2019-11-06 20:13:44,john  as b 4  fink,Haudenosaunee and Anishnaabeg Dish With One Spoon Territory   Hamilton  Ontario,@MidniteLibrary @ArchiveThoughts And  to a somewhat lesser degree  Canada more broadly  OK 
2019-11-06 20:13:43,GLAMmerGirl,Greater Vancouver,@VLeachman There s all SORTS of interesting things happening with copyright in Canada  The biggest challenge though is our neighbour to the south 
2019-11-06 20:13:42,Nora  Cassidy  Tyll,Courtice  ON,@ SJPeace  Just outside of Toronto Ontario Canada
2019-11-06 20:13:41,E O ,United States,RT @JackPosobiec: Jeffrey Epstein: ABC stopped report  amid Palace threats    BBC News   t co UZgtp1Xzba
2019-11-06 20:13:41,Sara    ,Canada,No  NO NO IT S NOT SNOWING ALREADY NO I REFUSE CANADA
2019-11-06 20:13:41,FERNANDA SALAS,,RT @ycannnet: 120 light room going BOOM  Day 47         medical  healthy  canada  medicalmarijuana  canadacannabis  weed  marijuana  cannabis  Ontariocannabisstores  ontario  herb  cbd  cannabisstrains  weddingbouquet   t co heKJ0fQNrH
2019-11-06 20:13:40,Sabrina Ahmad,Ottawa  Ontario,RT @LivNeal: So excited that Canada s going to be the next Chair of the Digital Nations  Looking forward to welcoming everyone to Canada next fall                                  digitalnations   t co FEdtU86rrv
2019-11-06 20:13:40,Sue,Jackson  MS,RT @EdenHar36652477: @seanmdav @happyfinko You might want to include Canada on your list   we literally let anyone cross into our country  We do not screen  Literally anyone can get into this country  because according to our PM  A Canadian   is a Canadian    I worry   you should worry 
2019-11-06 20:13:39,Kim Jongin,,RT @exoscharts: EXOLs from US     UK    and Canada     the official Amazon links will count for Billboard of the respective countries and GAON  So make sure you buy on the official links already uploaded in the preorder compilation    t co 4NoliuwHvL  @weareoneEXO
2019-11-06 20:13:38,howedns1,,RT @NikaDragomira: If we had to rank the stupidmost premiers we ve ever had  across Canada  surely Ford would top the charts     t co gkZHx560dW
2019-11-06 20:13:38,Canadian Gaijin,Regina  Saskatchewan,Amazing work as always Tapla    t co VVwyCSVdMX
2019-11-06 20:13:37,Jane Maciver,Toronto,RT @NursingEthicsJ1: Save the date  We are holding the 21st lnternational Nursing Ethics Conference  amp  5th International Care Ethics Conference June 6 7  2020 in Toronto  Canada  Theme: Sustaining Ethical Care through Resistance and Conscientious Commitment   details to come 
2019-11-06 20:13:37,Beverly tymchuk,,RT @SecPompeo: In August @RealDonaldTrump signed an Executive Order blocking property  amp  interests in property of the illegitimate Maduro regime  Today we identified 5 Maduro aligned officials under this E O  to help hold them accountable and bolster actions already taken by  Canada  amp  the  EU 
2019-11-06 20:13:36,Pam Palmater,Toronto  ON,RT @kataclyst: Every settler in Canada should read Arthur Manuel s  Unsettling Canada   Every  Single  Settler  It is  literally  the least you can do  h t @Pam Palmater s  ReconciliationBookClub  @ShannonDea1
2019-11-06 20:13:36,LWHA,Listowel and Wingham,It s Medical Radiation Technologists Week across Canada  They are committed to delivering compassionate care to patients while delivering critical  high tech  services  At LWHA  MRT s deliver care through general radiography  CT and mammography imaging    t co CTx4cX2SZs
2019-11-06 20:13:34,Uncle Dal   ,Treaty No  6,RT @scottgrod: @UncleDall Best: July 1st PFC win vs Cavs   Best Canada day possibly ever   Worst:  Not having an 8th team 
